"report_name","report_url","report_source"
"Musical and Theatrical Tax Credit Program: 2018","https://esd.ny.gov/esd-media-center/reports/musical-and-theatrical-tax-credit-program-2018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=12"
"Economic Impact of the Film Industry in New York State - 2017 & 2018","https://esd.ny.gov/esd-media-center/reports/camoin-nys-film-report-2017-18","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=12"
"Independent Review of the Empire State Film Production and Post-Production Credit Programs – 2017 & 2018","https://esd.ny.gov/esd-media-center/reports/financial-operational-review-esd-film-credit-2017-18","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=12"
"Linked Deposit 2018 Annual Report","https://esd.ny.gov/esd-media-center/reports/linked-deposit-2018-annual-report","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=12"
"Empire State Development Quarterly Status Reports: 2018-2019","https://esd.ny.gov/esd-media-center/reports/esd-quarterly-status-reports-2018-2019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=12"
"Key Budgetary Changes Affecting Small Businesses – FY 17-18 to FY 18-19","https://esd.ny.gov/esd-media-center/reports/key-budgetary-changes-affecting-small-businesses-2018-2019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=12"
"Entrepreneurial Assistance Program Annual Report: 2017-18","https://esd.ny.gov/esd-media-center/reports/eap-report-2017-18","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=12"
"Empire State Development: Annual Report 2018","https://esd.ny.gov/esd-media-center/reports/esd-annual-report-2018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=12"
"ESD 2017 Annual Jobs Report","https://esd.ny.gov/esd-media-center/reports/esd-2017-annual-jobs-report","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=12"
"Excelsior Jobs Program Quarterly Report: 6/30/2018","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-63018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=13"
"Empire State Jobs Retention Program Quarterly Report: 6/30/2018","https://esd.ny.gov/esd-media-center/reports/jobs-retention-program-63018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=13"
"Empire State Jobs Retention Program - Quarterly Report: 3/31/2018","https://esd.ny.gov/esd-media-center/reports/jobs-retention-program-3312018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=13"
"Division of Minority and Women's Business Development Annual Report 2018","https://esd.ny.gov/esd-media-center/reports/division-minority-and-womens-business-development-annual-report-2018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=13"
